agent,attempt_id,timestamp_utc,elapsed_hours,raw_fd,score_improvement_vs_start39060,running_best_score,running_best_raw_fd,metric,source_file
Claude,c10m-002-l0-probe-r1,2026-09-21T19:28:09+00:00,0.2086,1388.298507,-101.848109,-101.848109,1388.298507,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-002-l0-probe-r1/evals/s300_ema_n2k/fd.json
Claude,c10m-003-root-eval-r1,2026-09-21T19:36:12+00:00,0.3428,1286.450398,0.000000,0.000000,1286.450398,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-003-root-eval-r1/evals/root_ema_n10k/fd.json
Claude,c10m-003-root-eval-r1,2026-09-21T19:36:12+00:00,0.3428,1276.863911,9.586487,9.586487,1276.863911,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-003-root-eval-r1/evals/root_raw_n10k/fd.json
Claude,c10m-010-ctrl,2026-09-21T20:44:56+00:00,1.4883,1033.321661,253.128737,253.128737,1033.321661,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-010-ctrl/evals/s6000_ema_n10k/fd.json
Claude,c10m-010-ctrl,2026-09-21T20:44:56+00:00,1.4883,1092.639481,193.810917,253.128737,1033.321661,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-010-ctrl/evals/s6000_raw_n10k/fd.json
Claude,c10m-011-cooldown,2026-09-21T20:44:56+00:00,1.4883,1024.961752,261.488646,261.488646,1024.961752,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-011-cooldown/evals/s6000_ema_n10k/fd.json
Claude,c10m-011-cooldown,2026-09-21T20:44:56+00:00,1.4883,1060.722504,225.727894,261.488646,1024.961752,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-011-cooldown/evals/s6000_raw_n10k/fd.json
Claude,c10m-013-nullp0,2026-09-21T21:01:58+00:00,1.7722,1019.568542,266.881856,266.881856,1019.568542,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-013-nullp0/evals/s6000_ema_n10k/fd.json
Claude,c10m-013-nullp0,2026-09-21T21:01:58+00:00,1.7722,1064.236753,222.213645,266.881856,1019.568542,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-013-nullp0/evals/s6000_raw_n10k/fd.json
Claude,c10m-015-diag-cfg-noise,2026-09-21T21:08:08+00:00,1.8750,1170.658979,115.791419,266.881856,1019.568542,fd_dinov2_val,/shared/gpic-autoresearch-10m/claude/attempts/c10m-015-diag-cfg-noise/evals/root_cfg1.5/fd.json
